provider,model,index,status,time_s,utc_completed,input_tokens,output_tokens,cached_tokens
google,gemini-2.5-flash-lite-preview-06-17,52,Success,122.572,2025-06-24T09:03:34,2556,106,2389
google,gemini-2.5-flash,52,Success,122.573,2025-06-24T09:03:34,2556,237,2389
google,gemini-2.5-flash-lite-preview-06-17,53,Success,123.657,2025-06-24T09:03:35,2567,93,2389
google,gemini-2.5-flash,53,Success,123.659,2025-06-24T09:03:35,2567,344,2389
google,gemini-2.5-flash-lite-preview-06-17,54,Success,125.93,2025-06-24T09:03:37,2624,233,2389
google,gemini-2.5-flash,54,Success,125.931,2025-06-24T09:03:37,2624,314,2389
google,gemini-2.5-flash-lite-preview-06-17,55,Success,127.293,2025-06-24T09:03:38,2560,186,2389
google,gemini-2.5-flash,55,Success,127.304,2025-06-24T09:03:38,2560,340,2389
google,gemini-2.5-flash-lite-preview-06-17,56,Success,129.666,2025-06-24T09:03:41,2626,201,2389
google,gemini-2.5-flash,56,Success,129.667,2025-06-24T09:03:41,2626,390,2389
google,gemini-2.5-flash-lite-preview-06-17,57,Success,133.831,2025-06-24T09:03:45,2660,620,2389
google,gemini-2.5-flash,57,Success,133.831,2025-06-24T09:03:45,2660,360,2389
google,gemini-2.5-flash-lite-preview-06-17,58,Success,134.336,2025-06-24T09:03:45,2704,180,2389
google,gemini-2.5-flash,58,Success,134.337,2025-06-24T09:03:45,2704,323,2389
google,gemini-2.5-flash-lite-preview-06-17,59,Success,137.676,2025-06-24T09:03:49,2643,158,2389
google,gemini-2.5-flash,59,Success,137.677,2025-06-24T09:03:49,2643,363,2389
google,gemini-2.5-flash-lite-preview-06-17,60,Success,140.987,2025-06-24T09:03:52,2648,172,2389
google,gemini-2.5-flash,60,Success,140.988,2025-06-24T09:03:52,2648,456,2389
google,gemini-2.5-flash-lite-preview-06-17,61,Success,142.48,2025-06-24T09:03:54,2708,436,2389
google,gemini-2.5-flash,61,Success,142.48,2025-06-24T09:03:54,2708,564,2389
google,gemini-2.5-flash-lite-preview-06-17,62,Success,145.041,2025-06-24T09:03:56,2593,130,2389
google,gemini-2.5-flash,62,Success,145.041,2025-06-24T09:03:56,2593,396,2389
google,gemini-2.5-flash-lite-preview-06-17,63,Success,147.78,2025-06-24T09:03:59,2618,124,2389
google,gemini-2.5-flash,63,Success,147.78,2025-06-24T09:03:59,2618,319,2389
google,gemini-2.5-flash-lite-preview-06-17,64,Success,151.421,2025-06-24T09:04:03,2657,657,2389
google,gemini-2.5-flash,64,Success,151.422,2025-06-24T09:04:03,2657,473,2389
google,gemini-2.5-flash-lite-preview-06-17,65,Success,151.425,2025-06-24T09:04:03,2556,89,2389
google,gemini-2.5-flash,65,Success,151.426,2025-06-24T09:04:03,2556,348,2389
google,gemini-2.5-flash-lite-preview-06-17,67,Success,160.871,2025-06-24T09:04:12,2770,331,2389
google,gemini-2.5-flash,67,Success,160.872,2025-06-24T09:04:12,2770,729,2389
google,gemini-2.5-flash-lite-preview-06-17,68,Success,165.549,2025-06-24T09:04:17,2667,132,2389
google,gemini-2.5-flash,68,Success,165.549,2025-06-24T09:04:17,2667,474,2389
google,gemini-2.5-flash-lite-preview-06-17,69,Success,168.754,2025-06-24T09:04:20,2529,144,2389
google,gemini-2.5-flash,69,Success,168.755,2025-06-24T09:04:20,2529,219,2389
google,gemini-2.5-flash-lite-preview-06-17,70,Success,170.198,2025-06-24T09:04:21,2504,57,2389
google,gemini-2.5-flash,70,Success,170.199,2025-06-24T09:04:21,2504,85,2389
google,gemini-2.5-flash-lite-preview-06-17,66,Success,170.917,2025-06-24T09:04:22,2756,548,2389
google,gemini-2.5-flash,66,Success,170.918,2025-06-24T09:04:22,2756,2580,2389
google,gemini-2.5-flash-lite-preview-06-17,71,Success,173.658,2025-06-24T09:04:25,2598,122,2389
google,gemini-2.5-flash,71,Success,173.659,2025-06-24T09:04:25,2598,324,2389
google,gemini-2.5-flash-lite-preview-06-17,72,Success,176.33,2025-06-24T09:04:27,2676,133,2389
google,gemini-2.5-flash,72,Success,176.33,2025-06-24T09:04:27,2676,434,2389
google,gemini-2.5-flash-lite-preview-06-17,73,Success,177.81,2025-06-24T09:04:29,2563,108,2389
google,gemini-2.5-flash,73,Success,177.811,2025-06-24T09:04:29,2563,358,2389
google,gemini-2.5-flash-lite-preview-06-17,75,Success,182.46,2025-06-24T09:04:34,2642,149,2389
google,gemini-2.5-flash,75,Success,182.461,2025-06-24T09:04:34,2642,530,2389
google,gemini-2.5-flash-lite-preview-06-17,74,Success,182.608,2025-06-24T09:04:34,2576,174,2389
google,gemini-2.5-flash,74,Success,182.609,2025-06-24T09:04:34,2576,418,2389
google,gemini-2.5-flash-lite-preview-06-17,76,Success,184.843,2025-06-24T09:04:36,2565,74,2389
google,gemini-2.5-flash,76,Success,184.844,2025-06-24T09:04:36,2565,262,2389
google,gemini-2.5-flash-lite-preview-06-17,77,Success,185.779,2025-06-24T09:04:37,2532,106,2389
google,gemini-2.5-flash,77,Success,185.78,2025-06-24T09:04:37,2532,212,2389
google,gemini-2.5-flash-lite-preview-06-17,79,Success,188.923,2025-06-24T09:04:40,2507,56,2389
google,gemini-2.5-flash,79,Success,188.924,2025-06-24T09:04:40,2507,181,2389
google,gemini-2.5-flash-lite-preview-06-17,78,Success,189.657,2025-06-24T09:04:41,2572,111,2389
google,gemini-2.5-flash,78,Success,189.658,2025-06-24T09:04:41,2572,350,2389
google,gemini-2.5-flash-lite-preview-06-17,80,Success,193.797,2025-06-24T09:04:45,2600,95,2389
google,gemini-2.5-flash,80,Success,193.798,2025-06-24T09:04:45,2600,502,2389
google,gemini-2.5-flash-lite-preview-06-17,81,Success,195.411,2025-06-24T09:04:47,2707,417,2389
google,gemini-2.5-flash,81,Success,195.413,2025-06-24T09:04:47,2707,519,2389
google,gemini-2.5-flash-lite-preview-06-17,82,Success,197.283,2025-06-24T09:04:48,2591,122,2389
google,gemini-2.5-flash,82,Success,197.284,2025-06-24T09:04:48,2591,299,2389
google,gemini-2.5-flash-lite-preview-06-17,84,Success,201.096,2025-06-24T09:04:52,2553,81,2389
google,gemini-2.5-flash,84,Success,201.097,2025-06-24T09:04:52,2553,267,2389
google,gemini-2.5-flash-lite-preview-06-17,83,Success,201.665,2025-06-24T09:04:53,2698,689,2389
google,gemini-2.5-flash,83,Success,201.666,2025-06-24T09:04:53,2698,479,2389
google,gemini-2.5-flash-lite-preview-06-17,85,Success,205.322,2025-06-24T09:04:56,2538,152,2389
google,gemini-2.5-flash,85,Success,205.323,2025-06-24T09:04:56,2538,380,2389
google,gemini-2.5-flash-lite-preview-06-17,86,Success,205.331,2025-06-24T09:04:56,2517,97,2389
google,gemini-2.5-flash,86,Success,205.332,2025-06-24T09:04:56,2517,272,2389
google,gemini-2.5-flash-lite-preview-06-17,87,Success,208.908,2025-06-24T09:05:00,2571,124,2389
google,gemini-2.5-flash,87,Success,208.909,2025-06-24T09:05:00,2571,268,2389
google,gemini-2.5-flash-lite-preview-06-17,88,Success,210.153,2025-06-24T09:05:01,2521,119,2389
google,gemini-2.5-flash,88,Success,210.154,2025-06-24T09:05:01,2521,276,2389
google,gemini-2.5-flash-lite-preview-06-17,89,Success,214.057,2025-06-24T09:05:05,2614,116,2389
google,gemini-2.5-flash,89,Success,214.058,2025-06-24T09:05:05,2614,393,2389
google,gemini-2.5-flash-lite-preview-06-17,90,Success,214.086,2025-06-24T09:05:05,2619,210,2389
google,gemini-2.5-flash,90,Success,214.087,2025-06-24T09:05:05,2619,382,2389
google,gemini-2.5-flash-lite-preview-06-17,91,Success,217.763,2025-06-24T09:05:09,2637,190,2389
google,gemini-2.5-flash,91,Success,217.764,2025-06-24T09:05:09,2637,353,2389
google,gemini-2.5-flash-lite-preview-06-17,92,Success,219.306,2025-06-24T09:05:10,2701,219,2389
google,gemini-2.5-flash,92,Success,219.307,2025-06-24T09:05:10,2701,468,2389
google,gemini-2.5-flash-lite-preview-06-17,93,Success,221.674,2025-06-24T09:05:13,2617,192,2389
google,gemini-2.5-flash,93,Success,221.674,2025-06-24T09:05:13,2617,362,2389
google,gemini-2.5-flash-lite-preview-06-17,94,Success,222.683,2025-06-24T09:05:14,2513,115,2389
google,gemini-2.5-flash,94,Success,222.684,2025-06-24T09:05:14,2513,300,2389
google,gemini-2.5-flash-lite-preview-06-17,96,Success,226.473,2025-06-24T09:05:18,2566,91,2389
google,gemini-2.5-flash,96,Success,226.474,2025-06-24T09:05:18,2566,274,2389
google,gemini-2.5-flash-lite-preview-06-17,95,Success,229.099,2025-06-24T09:05:20,2721,373,2389
google,gemini-2.5-flash,95,Success,229.1,2025-06-24T09:05:20,2721,731,2389
google,gemini-2.5-flash-lite-preview-06-17,97,Success,230.974,2025-06-24T09:05:22,2633,66,2389
google,gemini-2.5-flash,97,Success,230.975,2025-06-24T09:05:22,2633,344,2389
google,gemini-2.5-flash-lite-preview-06-17,98,Success,233.401,2025-06-24T09:05:25,2632,175,2389
google,gemini-2.5-flash,98,Success,233.402,2025-06-24T09:05:25,2632,341,2389
google,gemini-2.5-flash-lite-preview-06-17,99,Success,238.825,2025-06-24T09:05:30,2682,286,2389
google,gemini-2.5-flash,99,Success,238.826,2025-06-24T09:05:30,2682,629,2389
